id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
4104,Mujer,0,2017,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
4105,Hombre,1,2016,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
4106,Mujer,0,2017,1,UNAB25361,Magister en Educación Inicial Mención en Didactica de las Matemáticas y el Lenguaje,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
4107,Hombre,1,2016,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2019,Desertor,0,Magíster
4108,Hombre,1,2015,1,UNAB35391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
4109,Hombre,1,2015,1,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
4110,Mujer,0,2016,1,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2018,Desertor,0,Magíster
4111,Mujer,0,2015,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
4112,Mujer,0,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
4113,Mujer,0,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
4114,Hombre,1,2016,2,UNAB25466,Magíster en Logística y Gestión de Operaciones con y Sin Mención,Ingeniería,ANT,Santiago,Vespertina,3,2018,Desertor,0,Magíster
4115,Hombre,1,2014,2,UNAB35391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
4116,Mujer,0,2014,2,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2017,Desertor,0,Magíster
4117,Mujer,0,2016,2,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2019,Desertor,0,Magíster
